time,entries_daily,entries_daily_0_modified
1571313600,281,281.00
1571400000,274,274.00
1571486400,277,277.00
1571572800,73,73.00
1571659200,118,118.00
1571745600,192,192.00
1571832000,126,126.00
1571918400,216,216.00
1572004800,126,126.00
1572091200,44,44.00
1572177600,74,74.00
1572264000,64,64.00
1572350400,75,75.00
1572436800,47,47.00
1572523200,46,46.00
1572609600,0,0.01
1572696000,41,41.00
1572782400,78,78.00
1572868800,337,337.00
1572955200,285,285.00
1573041600,244,244.00
1573128000,276,276.00
1573214400,297,297.00
1573300800,271,271.00
1573387200,74,74.00
1573473600,0,0.01
1573560000,283,283.00
1573646400,291,291.00
1573732800,288,288.00
1573819200,299,299.00
1573905600,259,259.00
1573992000,85,85.00
1574078400,334,334.00
1574164800,303,303.00
1574251200,264,264.00
1574337600,294,294.00
1574424000,278,278.00
1574510400,197,197.00
1574596800,86,86.00
1574683200,285,285.00
1574769600,266,266.00
1574856000,202,202.00
1574942400,264,264.00
1575028800,310,310.00
1575115200,228,228.00
1575201600,76,76.00
1575288000,325,325.00
1575374400,270,270.00
1575460800,244,244.00
1575547200,0,0.01
1575633600,274,274.00
1575720000,237,237.00
1575806400,82,82.00
1575892800,314,314.00
1575979200,247,247.00
1576065600,229,229.00
1576152000,223,223.00
1576238400,306,306.00
1576324800,244,244.00
1576411200,83,83.00
1576497600,284,284.00
1576584000,219,219.00
1576670400,218,218.00
1576756800,227,227.00
1576843200,276,276.00
1576929600,139,139.00
1577016000,64,64.00
1577102400,50,50.00
1577188800,30,30.00
1577275200,0,0.01
1577361600,49,49.00
1577448000,26,26.00
1577534400,51,51.00
1577620800,46,46.00
1577707200,70,70.00
1577793600,78,78.00
1577880000,0,0.01
1577966400,126,126.00
1578052800,116,116.00
1578139200,47,47.00
1578225600,77,77.00
1578312000,331,331.00
1578398400,210,210.00
1578484800,211,211.00
1578571200,207,207.00
1578657600,340,340.00
1578744000,335,335.00
1578830400,82,82.00
1578916800,327,327.00
1579003200,243,243.00
1579089600,195,195.00
1579176000,287,287.00
1579262400,268,268.00
1579348800,288,288.00
1579435200,157,157.00
1579521600,213,213.00
1579608000,254,254.00
1579694400,215,215.00
1579780800,232,232.00
1579867200,278,278.00
1579953600,279,279.00
1580040000,79,79.00
1580126400,332,332.00
1580212800,261,261.00
1580299200,268,268.00
1580385600,235,235.00
1580472000,295,295.00
1580558400,260,260.00
1580644800,93,93.00
1580731200,294,294.00
1580817600,222,222.00
1580904000,247,247.00
1580990400,211,211.00
1581076800,331,331.00
1581163200,264,264.00
1581249600,159,159.00
1581336000,332,332.00
1581422400,234,234.00
1581508800,215,215.00
1581595200,271,271.00
1581681600,271,271.00
1581768000,141,141.00
1581854400,59,59.00
1581940800,0,0.01
1582027200,0,0.01
1582113600,0,0.01
1582200000,0,0.01
1582286400,0,0.01
1582372800,0,0.01
1582459200,0,0.01
1582545600,0,0.01
1582632000,0,0.01
1582718400,0,0.01
1582804800,0,0.01
1582891200,0,0.01
1582977600,0,0.01
1583064000,0,0.01
1583150400,330,330.00
1583236800,264,264.00
1583323200,186,186.00
1583409600,264,264.00
1583496000,286,286.00
1583582400,286,286.00
1583668800,73,73.00
1583755200,281,281.00
1583841600,228,228.00
1583928000,167,167.00
1584014400,291,291.00
1584100800,342,342.00
1584187200,143,143.00
1584273600,94,94.00
